education,south,female,workexp,unionmember,wages,age,ethnicity,occupation,sector,married
12,0,0,3,0,5.75,21,White,Professional,Other,1
16,1,0,14,1,20.5,36,White,Professional,Other,1
14,0,0,0,0,5,20,White,Professional,Construction,1
18,0,0,33,0,7,57,White,Professional,Other,1
16,1,0,38,0,18,60,White,Professional,Other,1
18,0,1,18,1,12,42,White,Professional,Other,1
17,0,0,3,0,20.399999618530273,26,White,Professional,Manufacturing,0
18,0,1,40,0,22.200000762939453,64,White,Professional,Other,0
14,0,0,19,0,16.420000076293945,39,White,Professional,Manufacturing,0
14,0,1,4,0,8.630000114440918,24,White,Professional,Other,0
16,0,1,11,0,19.3799991607666,33,White,Professional,Other,1
16,0,1,16,0,14,38,White,Professional,Other,1
14,0,0,22,0,10,42,White,Professional,Other,1
17,0,1,13,1,15.949999809265137,36,White,Professional,Other,0
16,1,1,28,1,20,50,White,Professional,Other,1
16,0,1,10,0,10,32,White,Professional,Other,1
16,1,1,5,0,24.979999542236328,27,White,Professional,Other,0
15,0,0,5,0,11.25,26,White,Professional,Other,0
18,0,1,37,0,22.829999923706055,61,White,Professional,Manufacturing,0
17,0,1,26,1,10.199999809265137,49,White,Professional,Other,1
16,1,1,4,0,10,26,White,Professional,Other,1
18,0,1,31,1,14,55,White,Professional,Other,0
17,0,1,13,1,12.5,36,White,Professional,Other,1
12,0,1,42,0,5.789999961853027,60,White,Professional,Other,1
17,0,0,18,0,24.979999542236328,41,Hispanic,Professional,Other,1
12,0,1,3,0,4.349999904632568,21,White,Professional,Other,1
17,0,1,10,0,11.25,33,White,Professional,Other,0
16,0,1,10,1,6.670000076293945,32,White,Professional,Other,0
16,0,1,17,0,8,39,Hispanic,Professional,Other,1
18,0,0,7,0,18.15999984741211,31,White,Professional,Other,1
16,0,1,14,0,12,36,White,Professional,Other,1
16,0,1,22,1,8.890000343322754,44,White,Professional,Other,1
17,0,1,14,0,9.5,37,White,Professional,Other,1
16,0,0,11,0,13.649999618530273,33,White,Professional,Other,1
18,0,0,23,1,12,47,White,Professional,Other,1
12,0,0,39,1,15,57,White,Professional,Other,1
16,0,0,15,0,12.670000076293945,37,White,Professional,Other,1
14,0,1,15,0,7.380000114440918,35,Hispanic,Professional,Other,0
16,0,0,10,0,15.5600004196167,32,White,Professional,Other,0
12,1,1,25,0,7.449999809265137,43,White,Professional,Other,0
14,0,1,12,0,6.25,32,White,Professional,Other,1
16,1,1,7,0,6.25,29,Hispanic,Professional,Other,1
17,0,0,7,1,9.369999885559082,30,White,Professional,Other,1
16,0,0,17,0,22.5,39,White,Professional,Manufacturing,1
16,0,0,10,1,7.5,32,White,Professional,Other,1
17,1,0,2,0,7,25,White,Professional,Other,1
9,1,1,34,1,5.75,49,Other,Professional,Other,1
15,0,1,11,0,7.670000076293945,32,White,Professional,Other,1
15,0,0,10,0,12.5,31,White,Professional,Other,0
12,1,0,12,0,16,30,White,Professional,Other,1
16,0,1,6,1,11.789999961853027,28,White,Professional,Other,0
18,0,0,5,0,11.359999656677246,29,White,Professional,Other,0
12,0,1,33,0,6.099999904632568,51,Other,Professional,Other,1
17,0,1,25,1,23.25,48,Other,Professional,Other,1
12,1,0,13,1,19.8799991607666,31,White,Professional,Other,1
16,0,0,33,0,15.380000114440918,55,White,Professional,Manufacturing,1
